,age,workclass,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
0,3,3,9,5,7,4,3,2,1,1,3,2,1
1,5,3,5,3,5,1,5,2,1,1,4,2,1
2,3,2,1,3,11,1,5,2,1,1,3,2,2
3,6,3,8,3,7,1,3,2,1,1,3,2,2
4,4,3,9,5,8,2,5,2,1,1,2,2,1
5,10,5,7,3,10,1,5,2,1,1,3,2,2
6,2,3,8,5,8,5,5,1,1,1,3,2,1
7,9,3,10,3,3,1,5,2,1,1,1,2,1
8,11,3,5,3,7,1,5,2,1,1,3,2,2
9,5,1,3,3,1,1,5,2,1,1,3,2,1
10,3,3,5,5,1,2,5,1,1,1,3,2,1
11,7,3,5,3,7,1,5,2,1,1,3,2,2
12,6,3,6,3,4,1,5,2,1,1,4,2,2
13,2,6,8,5,8,4,5,2,1,1,2,2,1
14,6,3,5,3,1,6,5,1,1,1,2,2,1
15,5,3,5,7,7,5,5,1,1,1,2,2,1
16,4,3,3,3,13,1,5,2,1,1,3,2,2
17,4,3,8,5,8,4,3,1,1,1,3,2,1
18,3,3,3,5,10,2,5,2,1,1,3,1,1
19,3,3,3,3,10,1,5,2,1,1,3,2,1
20,7,5,5,3,3,1,5,2,1,1,4,2,2
21,2,3,5,5,1,4,5,2,1,1,2,2,1
22,2,3,5,6,7,5,3,2,1,1,4,2,1
23,8,3,5,3,3,1,5,2,1,1,3,2,1
24,4,5,8,5,10,2,5,2,1,1,4,2,1
25,7,6,8,3,4,1,3,2,1,1,3,2,2
26,9,5,9,7,8,5,5,1,1,1,4,2,1
27,2,5,3,5,12,2,5,2,1,1,4,2,1
28,2,2,8,3,11,1,5,2,1,1,3,2,1
29,3,3,5,1,4,5,5,1,1,1,3,2,1
30,5,2,3,3,10,1,5,2,1,1,3,2,2
31,2,3,10,5,9,2,5,2,1,1,4,1,1
32,1,3,9,5,7,2,5,2,1,1,3,2,1
33,2,3,5,5,3,4,5,2,1,1,3,2,1
34,11,3,6,3,10,1,5,2,1,1,4,2,2
35,6,4,2,3,12,1,5,2,1,1,3,2,2
36,5,3,5,3,5,1,5,2,1,1,3,2,1
37,3,3,9,3,8,1,5,2,1,1,3,2,1
38,2,6,8,5,5,4,5,2,1,1,3,2,1
39,3,3,2,3,10,6,5,1,1,1,3,2,2
40,5,3,10,3,3,1,5,2,1,1,3,1,1
41,8,3,8,3,14,1,5,2,1,1,4,2,1
42,8,3,9,6,9,2,3,1,1,1,2,2,1
43,9,4,5,7,4,2,5,1,1,1,4,2,1
44,2,3,8,5,8,4,5,2,1,1,2,2,1
45,5,3,5,1,6,4,3,2,1,1,3,2,1
46,2,3,8,5,8,4,5,1,1,2,2,2,1
47,2,3,5,5,8,2,5,2,1,1,4,2,2
48,5,3,9,4,4,2,5,2,1,1,4,1,1
49,2,3,8,5,1,4,5,1,1,1,3,2,1
50,10,3,5,3,3,1,5,2,1,1,3,2,1
51,4,2,3,3,4,1,5,2,1,1,4,2,2
52,6,4,5,3,4,1,5,2,1,1,4,2,2
53,4,3,5,3,6,1,5,2,1,1,3,2,1
54,4,3,3,5,4,2,5,1,1,1,4,2,1
55,5,3,8,1,12,2,5,2,1,1,3,2,1
56,3,3,6,5,4,2,5,1,1,1,3,2,1
57,4,3,5,5,7,4,5,1,1,1,3,2,1
58,7,2,5,1,1,2,5,1,1,1,3,2,1
59,6,4,1,3,3,1,5,2,1,1,4,2,2
60,2,3,8,5,8,4,5,2,1,1,2,2,1
61,7,3,5,6,14,2,5,2,1,1,3,2,1
62,6,3,5,3,12,1,5,2,1,1,3,2,1
63,9,3,8,3,4,1,5,2,1,1,3,2,2
64,7,3,2,3,13,1,5,2,1,1,3,2,1
65,4,3,5,3,7,1,5,2,1,1,3,1,1
66,2,3,8,6,6,2,5,1,1,1,3,2,1
67,7,3,8,3,3,1,4,2,1,1,3,1,1
68,6,3,5,3,7,1,5,2,1,1,4,2,1
69,11,4,5,3,12,1,5,2,1,1,2,2,1
70,8,3,5,3,14,1,5,2,1,1,3,2,1
71,2,3,8,5,1,2,5,1,1,1,3,2,1
72,7,4,8,3,7,1,5,2,1,1,4,2,1
73,2,3,3,5,4,2,5,2,1,1,3,2,1
74,2,3,8,6,8,2,5,2,1,2,3,2,1
75,4,5,8,3,3,1,5,2,1,1,4,2,1
76,6,3,5,6,7,2,5,1,1,1,3,2,1
77,2,1,9,5,8,4,5,1,1,1,1,2,1
78,9,3,5,3,12,1,5,2,1,1,4,2,2
79,2,1,8,5,2,2,5,2,1,1,3,2,1
80,9,3,3,5,4,2,5,1,1,1,2,2,1
81,7,1,10,5,8,2,3,2,1,1,2,2,1
82,4,3,6,3,10,6,5,1,1,1,1,2,2
83,9,1,3,1,1,2,5,2,1,1,3,2,1
84,4,3,6,5,8,2,1,2,1,1,3,2,1
85,2,3,5,5,6,4,5,2,1,1,3,2,1
86,3,3,3,5,4,4,5,1,1,1,3,2,1
87,7,3,9,3,5,1,5,2,1,1,3,2,1
88,9,3,5,3,14,1,5,2,1,1,3,2,2
89,2,3,5,5,1,2,5,1,1,1,3,2,1
90,4,3,8,5,1,5,3,1,1,1,3,2,1
91,2,3,8,5,14,4,3,2,1,1,3,2,1
92,9,5,9,7,8,2,5,1,1,1,3,2,1
93,8,2,5,7,1,5,5,1,1,1,2,2,1
94,5,3,9,6,7,2,5,1,1,1,3,2,1
95,6,2,5,3,11,1,5,2,1,1,3,2,1
96,3,3,5,5,14,4,5,2,1,1,3,2,1
97,2,3,8,5,6,4,3,2,1,1,2,2,1
98,2,3,5,5,8,2,5,1,1,1,2,2,1
99,2,3,5,5,7,4,5,1,1,1,3,2,1
100,3,3,8,3,3,1,5,2,1,1,3,2,1
101,3,3,2,3,4,1,5,2,1,1,3,2,2
102,6,3,8,3,6,1,5,2,1,1,3,2,1
103,3,3,5,5,6,5,5,2,1,1,3,2,1
104,7,3,5,3,3,1,5,2,1,1,3,2,1
105,2,3,9,5,8,2,5,1,1,1,2,2,1
106,6,3,5,4,1,5,5,1,1,1,3,2,1
107,6,3,3,1,12,5,5,1,1,1,3,2,2
108,4,2,3,1,10,5,5,1,1,1,4,2,1
109,2,3,8,5,12,4,5,1,1,1,2,2,1
110,2,3,8,5,11,4,5,2,1,1,2,2,1
111,6,3,8,1,13,2,5,1,1,1,3,2,1
112,6,3,5,1,6,5,5,1,1,1,3,2,1
113,11,3,5,1,1,2,5,1,1,1,2,2,1
114,7,1,4,3,10,6,5,1,1,1,3,2,2
115,3,3,5,5,10,4,5,2,1,1,3,2,1
116,3,5,5,3,3,1,5,2,1,1,4,1,2
117,6,3,6,3,10,1,5,2,1,3,4,2,2
118,6,3,8,3,1,1,5,2,1,1,3,2,1
119,2,3,5,5,3,5,3,1,1,1,3,2,1
120,6,4,4,3,10,1,5,2,1,1,3,2,2
121,9,3,5,3,3,1,3,2,1,1,3,2,1
122,4,3,1,5,10,2,5,1,1,1,3,2,1
123,5,3,5,3,12,1,5,2,1,1,4,2,2
124,7,3,10,3,7,1,3,2,1,1,3,2,1
125,4,3,5,3,7,6,5,1,1,1,3,2,1
126,2,3,9,3,5,1,5,2,1,1,3,2,1
127,7,3,6,3,10,1,5,2,1,1,3,2,1
128,2,3,8,5,1,4,2,1,1,1,2,1,1
129,6,3,5,3,4,1,5,2,1,1,4,2,2
130,6,4,5,3,4,1,5,2,1,2,3,2,2
131,4,3,6,5,10,4,5,1,1,1,2,2,1
132,7,5,5,7,4,2,5,1,1,1,2,2,1
133,6,3,2,7,4,5,5,1,1,1,2,2,1
134,4,3,5,3,12,1,5,2,1,1,3,2,2
135,9,3,3,3,4,1,5,2,1,1,4,2,2
136,2,3,5,5,12,2,5,2,1,1,2,2,1
137,3,3,8,5,8,2,3,2,1,1,1,2,1
138,3,3,9,3,8,6,3,1,1,1,3,2,1
139,8,3,10,3,7,1,5,2,1,1,2,2,1
140,2,3,9,5,3,5,5,2,1,1,3,2,1
141,6,6,3,3,1,1,5,2,1,2,3,2,2
142,3,3,8,5,1,4,5,1,1,1,3,2,1
143,3,2,5,5,3,2,5,2,1,1,3,2,1
144,2,3,3,5,12,2,5,2,1,1,2,2,1
145,6,3,8,5,6,5,3,1,1,1,3,2,1
146,5,4,3,1,4,2,5,2,1,1,3,2,1
147,9,3,9,3,8,1,5,2,1,1,2,2,1
148,4,3,5,3,12,1,5,2,1,1,3,2,1
149,2,3,5,3,3,1,5,2,1,1,3,2,1
