,age,workclass,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
0,1,2,9,2,7,1,1,2,1,1,2,1,1
1,1,2,5,1,5,2,2,2,1,1,2,1,1
2,1,1,1,1,11,2,2,2,1,1,2,1,2
3,1,2,8,1,7,2,1,2,2,1,2,1,2
4,1,2,9,2,8,1,2,2,1,1,1,1,1
5,2,1,7,1,10,2,2,2,1,1,1,1,2
6,2,2,8,2,8,1,2,1,1,1,2,1,1
7,1,2,10,1,3,2,2,2,1,1,1,1,1
8,2,2,5,1,7,2,2,2,2,1,2,1,2
9,1,1,3,1,1,2,2,2,1,1,2,1,1
10,1,2,5,2,1,1,2,1,1,1,1,1,1
11,1,2,5,1,7,2,2,2,1,1,2,1,2
12,1,2,6,1,4,2,2,2,1,1,2,1,2
13,2,1,8,2,8,1,2,2,1,1,1,1,1
14,1,2,5,1,1,2,2,1,1,1,1,1,1
15,1,2,5,2,7,1,2,1,1,1,1,1,1
16,1,2,3,1,13,2,2,2,1,1,2,1,2
17,1,2,8,2,8,1,1,1,1,1,1,1,1
18,1,2,3,2,10,1,2,2,1,1,2,2,1
19,1,2,3,1,10,2,2,2,1,1,2,1,1
20,1,1,5,1,3,2,2,2,2,1,3,1,2
21,2,2,5,2,1,1,2,2,1,1,1,1,1
22,2,2,5,2,7,1,1,2,1,1,2,1,1
23,1,2,5,1,3,2,2,2,1,1,1,1,1
24,1,1,8,2,10,1,2,2,1,1,3,1,1
25,1,1,8,1,4,2,1,2,2,1,1,1,2
26,1,1,9,2,8,1,2,1,1,1,2,1,1
27,2,1,3,2,12,1,2,2,1,1,2,1,1
28,2,1,8,1,11,2,2,2,1,1,2,1,1
29,1,2,5,2,4,1,2,1,1,1,2,1,1
30,1,1,3,1,10,2,2,2,1,1,2,1,2
31,2,2,10,2,9,1,2,2,1,1,2,2,1
32,2,2,9,2,7,1,2,2,1,1,2,1,1
33,2,2,5,2,3,1,2,2,1,1,2,1,1
34,2,2,6,1,10,2,2,2,1,1,2,1,2
35,1,1,2,1,12,2,2,2,1,1,2,1,2
36,1,2,5,1,5,2,2,2,1,1,2,1,1
37,1,2,9,1,8,2,2,2,1,1,2,1,1
38,2,1,8,2,5,1,2,2,1,1,1,1,1
39,1,2,2,1,10,2,2,1,1,1,1,1,2
40,1,2,10,1,3,2,2,2,1,1,2,2,1
41,1,2,8,1,14,2,2,2,1,1,2,1,1
42,1,2,9,2,9,1,1,1,1,1,1,1,1
43,1,1,5,2,4,1,2,1,1,1,2,1,1
44,2,2,8,2,8,1,2,2,1,1,1,1,1
45,1,2,5,2,6,1,1,2,1,1,2,1,1
46,2,2,8,2,8,1,2,1,1,2,1,1,1
47,2,2,5,2,8,1,2,2,2,1,3,1,2
48,1,2,9,1,4,1,2,2,1,1,2,2,1
49,2,2,8,2,1,1,2,1,1,1,2,1,1
50,2,2,5,1,3,2,2,2,1,1,2,1,1
51,1,1,3,1,4,2,2,2,1,1,2,1,2
52,1,1,5,1,4,2,2,2,2,1,2,1,2
53,1,2,5,1,6,2,2,2,1,1,2,1,1
54,1,2,3,2,4,1,2,1,1,1,2,1,1
55,1,2,8,2,12,1,2,2,1,1,2,1,1
56,1,2,6,2,4,1,2,1,1,1,2,1,1
57,1,2,5,2,7,1,2,1,1,1,2,1,1
58,1,1,5,2,1,1,2,1,1,1,2,1,1
59,1,1,1,1,3,2,2,2,2,1,3,1,2
60,2,2,8,2,8,1,2,2,1,1,1,1,1
61,1,2,5,2,14,1,2,2,1,1,2,1,1
62,1,2,5,1,12,2,2,2,1,1,2,1,1
63,1,2,8,1,4,2,2,2,2,1,2,1,2
64,1,2,2,1,13,2,2,2,1,1,2,1,1
65,1,2,5,1,7,2,2,2,1,1,2,2,1
66,2,2,8,2,6,1,2,1,1,1,2,1,1
67,1,2,8,1,3,2,1,2,1,1,2,2,1
68,1,2,5,1,7,2,2,2,1,1,2,1,1
69,2,1,5,1,12,2,2,2,1,1,1,1,1
70,1,2,5,1,14,2,2,2,1,1,2,1,1
71,2,2,8,2,1,1,2,1,1,1,2,1,1
72,1,1,8,1,7,2,2,2,1,1,2,1,1
73,2,2,3,2,4,1,2,2,1,1,2,1,1
74,2,2,8,2,8,1,2,2,1,2,2,1,1
75,1,1,8,1,3,2,2,2,1,1,2,1,1
76,1,2,5,2,7,1,2,1,1,1,2,1,1
77,2,1,9,2,8,1,2,1,1,1,1,1,1
78,1,2,5,1,12,2,2,2,1,1,2,1,2
