,sex,age_cat,race,juv_crime,priors_count,c_charge_degree,score_text,v_score_text,two_year_recid
1,2,1,1,1,1,1,2,2,2
2,2,3,1,2,5,1,2,2,2
4,2,1,2,1,15,1,3,2,2
6,1,1,2,1,1,2,2,2,1
7,2,1,2,1,1,1,2,2,1
8,2,3,1,1,4,2,3,2,2
9,1,1,2,1,1,2,2,2,1
10,2,1,1,1,1,1,2,2,1
11,1,2,2,1,2,1,2,2,2
12,2,1,1,1,8,1,2,2,2
14,2,1,1,1,4,1,1,1,1
15,2,1,2,1,7,1,3,2,2
16,2,1,2,1,6,1,2,2,2
17,2,2,1,1,14,1,3,2,2
18,2,3,1,1,2,1,1,1,2
19,2,1,2,1,1,2,2,2,2
20,1,3,2,1,1,1,2,3,1
22,2,1,2,1,2,2,2,2,1
24,2,1,1,1,9,1,2,2,2
25,2,1,1,2,6,1,3,3,2
26,2,1,1,1,1,1,1,3,2
27,2,1,2,1,10,1,1,1,2
28,2,1,1,1,5,1,1,2,2
29,2,2,2,1,1,1,2,2,1
31,1,1,2,1,5,2,3,2,2
32,2,3,2,1,2,2,2,2,2
33,2,1,1,7,22,1,1,3,2
34,2,1,2,1,1,2,2,2,1
35,1,3,1,1,3,1,1,1,1
36,2,2,1,1,3,2,2,2,1
37,2,1,2,1,3,2,2,2,2
38,1,2,1,1,8,1,2,2,1
39,2,1,1,1,1,1,3,2,2
40,2,1,2,1,10,2,1,1,2
41,2,1,1,6,14,1,1,2,2
42,2,2,2,1,1,2,2,2,1
43,2,1,1,1,1,1,2,2,1
44,2,1,2,1,2,1,2,2,2
46,2,1,1,2,16,1,3,3,1
47,2,3,1,1,3,1,2,2,2
49,2,2,1,1,5,2,2,2,1
50,2,2,2,1,9,1,3,2,1
51,2,1,1,1,6,1,2,2,1
52,2,1,1,5,16,1,1,1,2
53,2,1,2,1,5,2,2,2,2
54,2,3,1,2,2,1,2,3,2
55,2,1,1,1,5,1,1,3,2
57,2,1,1,2,7,1,3,2,2
59,1,2,1,1,1,2,2,2,1
62,2,1,1,1,2,2,2,2,1
