,checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,numner-people-provide-maintenance-for,telephone,foreign-worker,sex,marital-status,class-label
0,2,2,2,8,1,5,4,4,3,4,2,2,2,2,2,2,1,2,2,2,1,2
1,1,3,4,8,3,3,1,2,3,2,2,1,2,2,1,2,1,1,2,1,1,1
2,4,3,2,5,2,3,2,2,3,3,2,2,2,2,1,4,2,1,2,2,1,2
3,2,3,4,6,3,3,2,2,2,4,3,2,2,1,1,2,2,1,2,2,1,2
4,2,3,3,2,2,3,1,3,3,4,4,2,2,1,2,2,2,1,2,2,1,1
5,4,3,4,5,3,5,1,2,3,4,4,2,2,1,1,4,2,2,2,2,1,2
6,4,3,4,6,2,2,4,3,3,4,3,2,2,2,1,2,1,1,2,2,1,2
7,1,3,4,3,3,3,1,2,3,2,1,2,2,3,1,1,1,2,2,2,1,2
8,4,3,4,8,2,4,2,2,3,4,2,2,2,2,1,4,1,1,2,2,1,2
9,1,3,2,2,3,3,5,4,3,2,1,2,2,2,2,1,1,1,2,2,2,1
10,1,3,4,2,1,3,3,3,3,1,1,1,2,3,1,2,1,1,2,1,1,1
11,2,3,4,1,2,3,3,3,3,4,3,1,2,3,1,2,1,1,2,1,1,1
12,1,3,4,8,1,3,1,1,3,1,1,1,2,2,1,2,1,2,2,1,1,2
13,2,3,2,2,1,3,4,4,3,4,1,2,2,2,2,4,1,1,2,2,1,1
14,2,3,4,2,1,3,1,2,3,4,1,2,2,3,1,2,1,1,2,1,1,2
15,2,3,4,8,1,1,1,4,3,2,1,2,2,2,1,4,1,1,2,1,1,1
16,4,3,2,8,2,5,4,4,3,4,3,2,2,2,2,2,1,1,2,2,1,2
17,2,3,5,1,3,5,3,2,3,3,1,1,1,2,3,2,1,1,2,2,1,2
18,1,3,4,3,3,3,4,4,3,2,4,2,2,1,1,1,1,2,2,1,1,1
19,4,3,4,8,2,2,4,3,3,2,1,2,2,2,1,2,2,2,2,2,1,2
20,4,2,2,2,2,3,1,4,3,4,1,2,2,2,3,2,1,2,2,2,1,2
21,2,2,4,8,2,2,1,2,3,3,2,2,2,3,1,2,2,1,2,2,1,2
22,2,2,2,2,2,3,3,1,3,3,2,2,2,3,2,4,2,1,1,2,1,2
23,1,3,2,3,1,1,3,3,3,4,3,2,2,2,1,2,1,1,2,2,1,2
24,4,2,2,6,2,5,1,2,3,1,1,2,2,2,2,2,1,1,1,2,2,2
25,2,2,4,6,1,3,1,1,3,2,2,2,1,2,1,4,1,2,2,2,1,2
26,4,2,5,8,1,3,4,4,3,4,1,2,2,2,1,4,1,1,2,2,2,2
27,3,3,1,8,1,4,1,3,3,3,2,2,2,3,2,2,1,1,2,1,1,2
28,1,2,4,8,2,3,1,3,2,2,2,2,2,2,1,2,1,1,2,2,1,2
29,2,3,3,1,3,3,4,3,3,4,4,2,2,2,2,2,1,2,2,2,1,1
30,1,3,4,1,1,4,3,3,3,3,2,2,1,2,1,2,1,2,2,2,2,2
31,2,3,4,6,2,3,1,2,3,2,1,2,3,2,1,2,1,1,2,2,1,2
32,1,3,4,2,3,1,1,2,3,2,1,2,2,2,2,2,1,2,2,2,1,2
33,4,3,2,1,1,5,4,4,3,4,4,2,2,3,1,4,1,1,2,2,1,2
34,3,3,4,6,1,3,3,4,3,1,3,2,1,2,1,1,1,2,2,1,1,2
35,1,3,2,8,2,3,3,4,3,2,3,1,2,2,2,4,1,1,2,2,1,1
36,4,3,2,5,3,3,1,1,3,3,4,2,1,1,1,2,1,2,2,2,1,2
37,3,3,4,8,2,3,1,4,1,2,2,2,3,2,1,2,1,1,2,2,1,1
38,3,2,4,4,1,3,1,2,3,2,1,2,2,2,1,2,1,2,2,2,1,2
39,1,2,4,8,1,3,1,4,3,3,2,1,2,2,1,2,1,1,2,2,1,2
40,4,3,4,8,2,2,4,4,3,2,1,2,1,2,1,1,1,1,2,2,1,2
41,1,3,4,8,1,2,1,3,3,1,1,2,2,2,1,2,1,2,2,2,1,2
42,1,3,3,9,3,3,1,2,3,4,2,2,2,2,1,4,2,2,2,2,1,2
43,2,3,2,3,3,1,2,1,3,4,1,1,2,3,2,2,1,1,2,2,2,2
44,2,3,2,3,3,3,4,4,3,4,4,2,3,1,2,4,1,1,2,1,1,1
45,4,2,2,2,1,3,3,4,3,4,1,2,2,2,2,1,1,1,2,1,1,2
46,4,3,4,8,2,2,4,4,3,4,1,2,2,2,1,2,1,1,2,2,1,2
47,2,2,4,3,1,2,5,1,3,2,3,1,2,3,1,3,1,2,2,1,1,2
48,4,2,2,2,3,3,1,1,3,4,3,2,2,2,2,4,1,1,2,2,1,2
49,4,3,4,8,2,1,1,4,1,2,2,2,2,2,1,2,1,1,2,1,1,2
50,1,3,3,6,2,5,3,4,3,2,3,2,1,2,1,4,1,1,2,2,1,2
51,1,3,3,3,3,3,4,1,3,2,1,2,2,2,2,1,1,2,2,2,1,2
52,4,3,4,8,1,3,1,3,3,2,1,1,2,2,1,2,1,1,2,2,1,2
53,4,3,4,3,2,5,1,2,3,1,3,2,2,2,1,2,1,2,2,2,1,2
54,1,3,3,2,2,3,4,4,3,4,4,2,1,1,2,2,1,2,2,2,1,1
55,4,2,1,2,1,5,1,1,2,2,2,2,3,2,1,4,2,1,2,2,1,2
56,1,3,4,8,3,5,5,2,3,1,4,2,2,2,1,1,1,2,2,2,1,1
57,4,3,2,8,3,3,1,2,3,2,1,2,3,2,2,2,1,1,2,1,1,2
58,3,3,4,2,1,3,4,3,3,2,1,1,2,2,1,1,1,1,2,1,1,2
59,2,3,2,6,3,3,3,4,1,4,4,1,2,3,2,4,1,2,2,1,1,1
60,1,2,4,1,1,3,1,2,3,1,2,2,1,2,1,2,1,2,2,2,2,2
61,1,3,2,8,1,5,4,4,2,4,2,2,2,2,2,2,1,2,2,2,1,2
62,1,3,5,1,1,3,4,4,3,4,4,2,2,1,1,1,1,2,2,2,1,1
63,1,3,5,1,3,3,1,2,3,2,1,1,2,2,1,2,1,2,2,2,1,1
64,4,3,4,8,2,3,3,4,3,4,3,2,2,2,1,2,1,2,2,1,1,2
65,4,3,4,9,3,5,4,4,3,4,3,2,2,2,4,2,2,2,2,2,1,2
66,4,3,4,8,2,3,3,2,3,2,1,2,1,2,1,2,1,1,2,1,1,2
67,1,3,4,2,1,4,1,4,3,1,2,1,2,2,1,2,1,1,2,2,2,2
68,4,3,4,5,1,3,1,4,3,4,4,2,3,1,1,2,1,2,2,2,1,1
69,4,3,4,8,2,5,1,4,3,4,1,1,2,2,1,2,1,1,2,1,1,2
70,4,3,4,3,3,3,1,1,3,2,3,2,1,2,1,2,1,1,2,1,1,2
71,4,2,2,8,1,5,4,4,3,2,3,2,2,3,2,4,1,2,2,2,1,2
72,2,2,2,7,1,3,4,3,3,4,4,2,1,1,2,1,2,2,2,2,1,2
73,1,3,2,1,3,3,2,2,3,1,2,2,1,2,2,4,1,1,2,1,1,2
74,2,3,4,5,1,5,4,4,3,4,4,2,2,2,1,1,1,2,2,2,1,1
75,2,3,2,3,1,3,4,4,3,4,4,2,2,1,2,1,1,1,2,2,1,2
76,2,3,4,8,2,3,3,4,3,3,1,2,2,2,1,2,1,1,2,2,1,1
77,1,2,3,8,2,3,2,2,3,4,3,2,2,2,1,2,1,1,2,2,1,2
78,4,3,5,3,3,5,1,2,3,2,3,2,2,2,1,4,2,1,2,2,1,2
79,1,3,4,6,2,3,3,2,3,1,3,1,2,2,1,2,1,1,2,2,2,2
80,4,3,4,8,3,5,3,1,3,1,1,2,2,2,2,2,1,2,2,1,1,1
81,4,3,4,8,1,2,4,4,3,3,3,2,3,2,1,2,1,2,2,2,1,2
82,4,3,4,1,1,1,1,3,3,4,3,1,2,3,1,4,1,1,2,1,1,2
83,2,3,4,7,1,3,4,4,2,4,2,2,2,2,1,4,1,2,2,1,1,2
84,2,2,4,8,2,3,4,3,3,4,2,2,2,2,1,4,1,1,2,2,1,2
85,4,3,2,1,1,3,1,4,2,2,2,2,2,2,2,1,1,2,2,1,1,2
86,1,3,2,6,1,3,3,4,3,1,3,2,2,2,2,2,1,1,2,1,1,2
87,1,3,4,5,3,1,1,1,3,4,4,2,2,1,1,2,2,2,2,2,1,1
88,2,3,4,2,2,1,2,4,3,3,1,2,2,2,1,1,2,2,2,2,1,2
