,race,marital-status,relationship,gender,workclass,capital-gain,income
0,0,0,0,1,1,0,0
1,1,1,1,1,1,0,0
2,1,1,1,1,0,0,1
3,0,1,1,1,1,1,1
4,1,0,0,1,1,0,0
5,1,1,1,1,0,0,1
6,1,0,0,0,1,0,0
7,1,1,1,1,1,0,0
8,1,1,1,1,1,1,1
9,1,1,1,1,0,0,0
10,1,0,0,0,1,0,0
11,1,1,1,1,1,0,1
12,1,1,1,1,1,0,1
13,1,0,0,1,0,0,0
14,1,1,1,0,1,0,0
15,1,0,0,0,1,0,0
16,1,1,1,1,1,0,1
17,0,0,0,0,1,0,0
18,1,0,0,1,1,0,0
19,1,1,1,1,1,0,0
20,1,1,1,1,0,1,1
21,1,0,0,1,1,0,0
22,0,0,0,1,1,0,0
23,1,1,1,1,1,0,0
24,1,0,0,1,0,0,0
25,0,1,1,1,0,1,1
26,1,0,0,0,0,0,0
27,1,0,0,1,0,0,0
28,1,1,1,1,0,0,0
29,1,0,0,0,1,0,0
30,1,1,1,1,0,0,1
31,1,0,0,1,1,0,0
32,1,0,0,1,1,0,0
33,1,0,0,1,1,0,0
34,1,1,1,1,1,0,1
35,1,1,1,1,0,0,1
36,1,1,1,1,1,0,0
37,1,1,1,1,1,0,0
38,1,0,0,1,0,0,0
39,1,1,1,0,1,0,1
40,1,1,1,1,1,0,0
41,1,1,1,1,1,0,0
42,0,0,0,0,1,0,0
43,1,0,0,0,0,0,0
44,1,0,0,1,1,0,0
45,0,0,0,1,1,0,0
46,1,0,0,0,1,0,0
47,1,0,0,1,1,1,1
48,1,1,0,1,1,0,0
49,1,0,0,0,1,0,0
50,1,1,1,1,1,0,0
51,1,1,1,1,0,0,1
52,1,1,1,1,0,1,1
53,1,1,1,1,1,0,0
54,1,0,0,0,1,0,0
55,1,0,0,1,1,0,0
56,1,0,0,0,1,0,0
57,1,0,0,0,1,0,0
58,1,0,0,0,0,0,0
59,1,1,1,1,0,1,1
60,1,0,0,1,1,0,0
61,1,0,0,1,1,0,0
62,1,1,1,1,1,0,0
63,1,1,1,1,1,1,1
64,1,1,1,1,1,0,0
65,1,1,1,1,1,0,0
66,1,0,0,0,1,0,0
67,0,1,1,1,1,0,0
68,1,1,1,1,1,0,0
69,1,1,1,1,0,0,0
70,1,1,1,1,1,0,0
71,1,0,0,0,1,0,0
72,1,1,1,1,0,0,0
73,1,0,0,1,1,0,0
74,1,0,0,1,1,0,0
75,1,1,1,1,0,0,0
76,1,0,0,0,1,0,0
77,1,0,0,0,0,0,0
78,1,1,1,1,1,0,1
79,1,0,0,1,0,0,0
80,1,0,0,0,1,0,0
81,0,0,0,1,0,0,0
82,1,1,1,0,1,1,1
83,1,0,0,1,0,0,0
84,0,0,0,1,1,0,0
85,1,0,0,1,1,0,0
86,1,0,0,0,1,0,0
87,1,1,1,1,1,0,0
88,1,1,1,1,1,0,1
89,1,0,0,0,1,0,0
90,0,0,0,0,1,0,0
91,0,0,0,1,1,0,0
92,1,0,0,0,0,0,0
93,1,0,0,0,0,0,0
94,1,0,0,0,1,0,0
95,1,1,1,1,0,0,0
96,1,0,0,1,1,0,0
97,0,0,0,1,1,0,0
98,1,0,0,0,1,0,0
99,1,0,0,0,1,0,0
100,1,1,1,1,1,0,0
101,1,1,1,1,1,0,1
102,1,1,1,1,1,0,0
103,1,0,0,1,1,0,0
104,1,1,1,1,1,0,0
105,1,0,0,0,1,0,0
106,1,1,0,0,1,0,0
107,1,0,0,0,1,0,1
108,1,0,0,0,0,0,0
109,1,0,0,0,1,0,0
110,1,0,0,1,1,0,0
111,1,0,0,0,1,0,0
112,1,0,0,0,1,0,0
113,1,0,0,0,1,0,0
114,1,1,1,0,0,0,1
115,1,0,0,1,1,0,0
116,1,1,1,1,0,0,1
117,1,1,1,1,1,0,1
118,1,1,1,1,1,0,0
119,0,0,0,0,1,0,0
120,1,1,1,1,0,0,1
121,0,1,1,1,1,0,0
122,1,0,0,0,1,0,0
123,1,1,1,1,1,0,1
124,0,1,1,1,1,0,0
125,1,1,1,0,1,0,0
126,1,1,1,1,1,0,0
127,1,1,1,1,1,0,0
128,0,0,0,0,1,0,0
129,1,1,1,1,1,1,1
130,1,1,1,1,0,0,1
131,1,0,0,0,1,0,0
132,1,0,0,0,0,0,0
133,1,0,0,0,1,0,0
134,1,1,1,1,1,0,1
135,1,1,1,1,1,1,1
136,1,0,0,1,1,0,0
137,0,0,0,1,1,0,0
138,0,1,1,0,1,0,0
139,1,1,1,1,1,0,0
140,1,0,0,1,1,0,0
141,1,1,1,1,0,0,1
142,1,0,0,0,1,0,0
143,1,0,0,1,0,0,0
144,1,0,0,1,1,0,0
145,0,0,0,0,1,0,0
146,1,0,0,1,0,0,0
147,1,1,1,1,1,0,0
148,1,1,1,1,1,0,0
149,1,1,1,1,1,0,0
150,1,0,0,1,1,0,0
151,1,1,1,1,0,0,1
152,1,1,1,1,1,0,1
153,1,1,1,1,0,0,1
154,1,1,1,1,1,0,0
155,1,0,0,1,1,0,0
156,1,0,0,1,0,0,0
157,1,1,1,1,1,0,1
158,1,0,0,1,1,0,0
159,1,0,0,0,1,0,0
160,1,1,1,1,1,0,0
161,0,0,0,0,0,0,0
162,1,1,1,1,1,0,1
163,1,1,1,1,1,0,0
164,1,1,1,1,1,0,0
165,1,1,1,1,0,0,1
166,1,1,1,1,1,0,1
167,1,0,0,1,1,0,0
168,1,1,1,1,0,1,1
169,1,0,0,0,1,0,0
170,0,0,0,0,1,0,0
171,1,0,0,1,1,0,0
172,1,0,0,1,1,0,0
173,1,0,0,0,1,0,0
174,1,1,1,1,1,0,1
175,1,0,0,1,1,0,1
176,0,0,0,0,1,0,0
177,0,0,0,0,1,0,0
178,1,0,0,0,1,0,0
179,1,0,0,1,1,0,0
180,1,1,1,0,0,0,1
181,1,0,0,0,1,0,0
182,1,1,1,1,1,0,1
183,1,1,1,1,0,0,1
184,1,1,1,1,0,0,0
185,1,0,0,1,1,0,0
186,1,0,0,0,0,0,0
187,1,1,1,1,1,0,1
188,1,1,1,1,0,0,0
189,0,1,1,1,1,0,0
190,1,1,1,1,0,0,0
191,1,1,1,0,1,0,1
192,1,1,1,1,1,0,1
193,1,0,0,1,1,0,0
194,1,0,0,0,1,0,0
195,1,0,0,0,0,1,0
196,1,1,1,1,1,0,0
197,0,0,0,0,1,0,0
198,1,1,1,1,1,0,0
199,1,0,0,1,0,0,0
200,1,0,0,1,1,0,0
201,1,0,0,1,1,0,0
202,1,0,0,0,1,0,0
203,0,1,1,1,1,0,0
204,0,0,0,0,1,0,0
205,1,0,0,1,1,0,0
206,1,1,1,1,0,0,1
207,1,1,1,1,0,1,1
208,1,1,1,1,1,0,0
209,1,1,1,1,1,1,1
210,1,1,1,1,0,0,0
211,1,0,0,1,1,0,0
212,1,1,1,1,1,0,0
213,0,0,0,0,1,0,0
214,1,1,1,1,1,0,1
215,1,1,1,1,0,0,0
216,1,0,0,0,1,0,0
217,1,1,1,1,1,1,0
218,0,0,0,0,1,0,0
219,1,0,0,0,1,0,0
220,1,1,1,1,1,0,0
221,1,0,0,0,0,0,0
222,1,1,1,1,0,0,0
223,1,0,0,0,1,0,0
224,1,1,1,1,0,0,0
225,1,0,0,0,0,0,0
226,1,1,1,1,1,0,0
227,1,1,0,0,1,0,0
228,1,1,1,1,1,0,1
229,1,1,1,1,0,0,0
230,1,0,0,1,1,0,0
231,1,0,0,1,1,0,0
232,1,1,1,1,1,0,1
233,1,0,0,1,1,0,0
234,1,0,0,1,1,0,0
235,0,0,0,1,0,0,0
236,0,0,0,0,1,0,0
237,1,0,0,1,0,0,0
238,1,0,0,1,0,0,0
239,1,1,1,0,1,0,0
240,1,0,0,1,0,0,0
241,1,0,0,0,1,0,0
242,1,0,0,0,1,0,0
243,1,0,0,0,1,0,0
244,1,1,1,1,1,0,1
245,1,1,1,1,1,0,0
246,1,1,1,0,1,0,0
247,1,1,1,1,1,0,0
248,1,1,1,1,1,0,1
249,1,1,1,0,1,0,1
250,1,0,0,1,0,0,0
251,0,0,0,0,1,0,0
252,0,0,0,1,1,0,0
253,1,0,0,1,1,0,0
254,1,1,1,1,0,1,1
255,0,0,0,1,1,0,0
256,1,1,1,1,0,0,1
257,1,1,1,1,1,0,1
258,1,0,0,0,1,0,0
259,1,0,0,0,1,0,0
260,0,1,1,1,1,0,0
261,1,0,0,0,1,0,0
262,0,0,0,1,1,0,0
263,1,1,1,1,1,0,1
264,0,1,1,1,0,0,0
265,0,0,0,1,1,0,0
266,1,1,1,1,1,0,1
267,1,1,1,1,1,0,0
268,1,1,1,1,1,0,0
269,1,0,0,0,1,0,0
270,1,1,1,1,1,0,0
271,1,0,0,1,1,0,0
272,1,1,1,1,1,0,1
273,1,0,0,1,1,0,0
274,1,0,0,1,0,1,1
275,1,1,0,1,1,0,0
276,1,1,1,1,1,0,1
277,1,0,0,1,1,0,0
278,1,0,0,0,0,0,0
279,1,0,0,0,1,0,0
280,1,0,0,1,1,0,0
281,1,1,0,0,1,0,0
282,1,0,0,1,1,0,0
283,1,1,1,1,0,0,1
284,0,1,1,1,0,0,0
285,1,1,1,1,0,0,1
286,1,0,0,1,1,0,0
287,1,1,1,1,0,0,0
288,1,0,0,0,1,0,1
289,1,1,1,0,1,0,0
290,1,0,0,1,1,0,1
291,1,0,0,0,1,0,0
292,1,1,1,1,1,0,1
293,0,1,1,1,1,0,1
294,1,0,0,1,1,0,0
295,1,1,1,1,0,0,0
296,1,1,1,1,1,0,0
297,1,1,1,1,1,0,0
298,1,0,0,1,1,0,0
299,1,1,1,1,1,0,0
300,1,0,0,0,0,0,0
301,1,0,0,1,1,0,0
302,1,1,1,1,0,0,1
303,1,0,0,1,1,0,0
304,1,1,1,1,1,0,1
