,race,age_cat,score_text,v_score_text,priors_count,age_cat,two_year_recid
1,0,1,0,0,0,1,1
2,0,0,0,0,0,0,1
4,1,1,1,0,1,1,1
6,1,1,0,0,0,1,0
7,1,1,0,0,0,1,0
8,0,0,1,0,0,0,1
9,1,1,0,0,0,1,0
10,0,1,0,0,0,1,0
11,1,1,0,0,0,1,1
12,0,1,0,0,1,1,1
14,0,1,1,1,0,1,0
15,1,1,1,0,1,1,1
16,1,1,0,0,1,1,1
17,0,1,1,0,1,1,1
18,0,0,1,1,0,0,1
19,1,1,0,0,0,1,1
20,1,0,0,1,0,0,0
22,1,1,0,0,0,1,0
24,0,1,0,0,1,1,1
25,0,1,1,1,1,1,1
26,0,1,1,1,0,1,1
27,1,1,1,1,1,1,1
28,0,1,1,0,0,1,1
29,1,1,0,0,0,1,0
31,1,1,1,0,0,1,1
32,1,0,0,0,0,0,1
33,0,1,1,1,1,1,1
34,1,1,0,0,0,1,0
35,0,0,1,1,0,0,0
36,0,1,0,0,0,1,0
37,1,1,0,0,0,1,1
38,0,1,0,0,1,1,0
39,0,1,1,0,0,1,1
40,1,1,1,1,1,1,1
41,0,1,1,0,1,1,1
42,1,1,0,0,0,1,0
43,0,1,0,0,0,1,0
44,1,1,0,0,0,1,1
46,0,1,1,1,1,1,0
47,0,0,0,0,0,0,1
49,0,1,0,0,0,1,0
50,1,1,1,0,1,1,0
51,0,1,0,0,1,1,0
52,0,1,1,1,1,1,1
53,1,1,0,0,0,1,1
54,0,0,0,1,0,0,1
55,0,1,1,1,0,1,1
57,0,1,1,0,1,1,1
59,0,1,0,0,0,1,0
62,0,1,0,0,0,1,0
63,0,1,1,0,1,1,1
64,1,1,1,0,0,1,1
65,0,1,0,0,0,1,0
66,0,0,0,0,0,0,1
67,1,0,1,1,0,0,0
68,0,1,0,0,0,1,1
69,0,1,0,0,0,1,0
70,0,1,0,0,0,1,0
71,0,1,1,1,1,1,1
73,0,1,1,1,1,1,1
75,0,0,1,1,0,0,1
76,0,1,0,0,0,1,0
77,0,1,1,1,1,1,1
78,1,1,1,0,1,1,1
80,1,1,1,1,1,1,1
81,1,0,1,1,0,0,0
82,1,1,0,0,0,1,1
83,1,1,0,0,0,1,0
85,0,0,0,1,0,0,1
86,0,1,0,0,0,1,0
87,1,1,0,0,0,1,1
88,1,0,1,1,1,0,1
89,1,1,0,0,0,1,0
90,1,1,1,0,0,1,0
91,1,1,0,0,0,1,0
92,1,1,0,0,0,1,0
93,0,0,1,1,0,0,1
94,1,1,0,0,1,1,1
95,1,1,1,1,0,1,0
96,0,1,1,0,1,1,1
97,0,1,0,0,0,1,0
98,1,1,0,0,0,1,1
99,0,1,1,1,1,1,1
100,0,0,0,1,0,0,1
101,0,1,1,1,1,1,1
102,0,1,1,1,0,1,0
104,1,1,1,1,1,1,1
105,0,1,1,0,0,1,1
106,1,1,1,1,0,1,0
107,0,1,1,1,1,1,1
108,1,1,0,0,1,1,0
109,1,1,0,1,0,1,0
110,1,1,0,0,0,1,0
112,1,1,0,0,0,1,1
113,0,0,0,0,0,0,0
114,1,1,0,0,1,1,1
115,1,1,0,0,0,1,1
116,0,1,1,0,0,1,1
117,1,1,0,0,0,1,1
118,0,1,0,0,0,1,0
119,1,1,0,0,0,1,1
120,0,0,1,1,0,0,0
121,1,1,0,0,0,1,0
122,0,1,1,0,1,1,1
123,0,1,1,1,1,1,1
124,0,1,1,0,1,1,1
125,0,1,0,0,0,1,1
126,0,1,1,1,1,1,1
127,0,1,1,1,0,1,1
128,0,0,1,1,0,0,0
129,1,1,1,0,0,1,0
130,0,1,0,0,0,1,1
133,0,1,1,1,0,1,1
135,0,1,0,0,0,1,1
136,1,1,0,0,0,1,0
137,1,1,1,0,0,1,1
138,0,1,1,1,0,1,0
139,1,1,0,0,0,1,0
140,0,0,0,0,0,0,0
141,1,1,0,0,1,1,1
142,1,1,1,0,0,1,0
143,0,1,0,0,0,1,1
145,0,1,1,0,1,1,0
147,0,1,0,0,1,1,0
149,0,1,1,1,1,1,1
152,1,1,0,0,0,1,1
153,1,1,0,0,0,1,0
155,0,0,1,1,0,0,1
156,0,1,1,0,1,1,1
157,0,0,0,0,0,0,1
159,0,1,0,0,0,1,0
160,1,1,0,0,1,1,1
161,0,1,1,1,0,1,1
162,1,1,0,0,0,1,1
163,0,1,1,1,1,1,1
164,1,1,0,0,0,1,0
165,0,0,0,0,0,0,1
166,0,1,0,0,0,1,0
167,0,0,0,0,0,0,0
169,1,1,0,0,0,1,0
170,1,1,0,0,0,1,0
171,1,1,0,0,0,1,0
172,0,1,1,1,1,1,1
174,0,1,1,1,0,1,1
175,0,1,0,0,0,1,0
176,0,1,1,1,0,1,0
177,1,1,1,1,1,1,1
178,0,1,0,0,0,1,0
179,0,1,1,1,0,1,0
180,1,1,0,0,1,1,1
181,0,1,1,0,1,1,0
182,0,1,1,0,0,1,0
183,1,1,0,0,0,1,1
184,1,1,0,0,0,1,0
186,0,1,0,0,0,1,0
187,1,1,0,0,0,1,1
188,0,1,1,0,0,1,0
189,0,1,1,0,1,1,0
190,0,1,1,1,1,1,1
191,0,1,0,0,0,1,0
193,0,1,1,1,1,1,0
194,0,0,1,1,0,0,0
195,0,1,0,0,0,1,0
196,1,1,0,0,0,1,0
197,1,1,0,0,1,1,1
198,0,1,0,0,0,1,0
199,1,1,0,0,0,1,0
200,0,1,1,0,1,1,1
201,1,1,1,0,0,1,0
202,0,0,0,1,0,0,0
203,0,1,0,0,0,1,0
205,1,1,1,1,0,1,1
206,1,1,0,0,0,1,1
207,0,1,1,1,1,1,0
208,1,1,0,0,0,1,0
209,0,1,1,1,1,1,1
210,1,1,1,0,1,1,1
211,0,1,0,0,0,1,0
212,1,0,1,1,0,0,1
217,1,0,1,1,1,0,1
219,0,1,0,0,0,1,0
220,0,0,1,1,0,0,1
221,0,1,1,1,0,1,1
223,0,1,0,0,0,1,0
224,0,1,0,0,0,1,0
225,0,0,1,1,0,0,0
227,0,1,0,0,0,1,0
228,0,0,0,0,0,0,1
229,0,1,0,0,0,1,0
230,1,1,1,0,0,1,0
231,1,1,1,1,0,1,1
232,0,1,1,1,1,1,1
233,0,0,1,1,0,0,1
234,1,0,0,0,0,0,0
235,0,1,0,0,0,1,0
237,0,1,1,0,0,1,1
238,0,1,0,0,0,1,0
239,1,1,0,0,0,1,0
240,1,1,0,0,0,1,0
241,1,1,0,0,0,1,0
242,0,0,1,1,0,0,1
243,0,1,1,1,0,1,1
245,1,1,0,0,1,1,0
246,0,1,0,0,1,1,0
247,1,0,1,1,0,0,1
248,0,1,0,0,1,1,1
249,0,1,0,0,1,1,1
251,1,1,0,0,0,1,0
252,0,0,1,1,0,0,0
253,0,0,1,1,0,0,1
254,1,1,0,0,0,1,0
255,1,1,0,0,1,1,0
257,0,1,0,0,1,1,0
259,0,1,0,0,0,1,0
260,1,1,0,0,0,1,1
261,1,1,0,0,0,1,1
262,1,1,0,0,0,1,0
264,0,1,0,0,0,1,0
265,0,0,1,1,0,0,1
266,1,1,0,0,0,1,0
267,1,1,0,0,0,1,0
268,0,1,1,1,1,1,0
269,0,0,1,1,0,0,1
270,1,1,1,0,1,1,0
271,0,0,1,1,0,0,1
272,1,1,1,1,1,1,1
273,1,1,0,0,0,1,1
275,0,1,1,1,0,1,0
276,1,1,0,0,0,1,1
278,1,1,1,0,0,1,0
279,0,0,1,1,0,0,1
280,1,1,0,0,0,1,0
281,0,0,0,0,0,0,0
283,0,1,0,0,0,1,0
