,sex,age,housing,class-label,employment-since
0,1,1,1,1,0
1,0,0,1,0,0
2,1,1,1,1,1
3,1,1,0,1,1
4,1,1,0,0,0
5,1,1,0,1,0
6,1,1,1,1,0
7,1,1,0,1,0
8,1,1,1,1,1
9,1,1,1,0,0
10,0,0,0,0,0
11,0,0,0,0,0
12,0,0,1,1,0
13,1,1,1,0,0
14,0,1,0,1,0
15,0,1,1,0,0
16,1,1,1,1,0
17,1,0,1,1,0
18,0,1,0,0,0
19,1,1,1,1,0
20,1,1,1,1,0
21,1,1,0,1,0
22,1,1,0,1,0
23,1,1,1,1,0
24,1,1,1,1,0
25,1,1,1,1,0
26,1,1,1,1,0
27,0,1,0,1,0
28,1,1,1,1,0
29,1,1,1,0,0
30,1,1,1,1,0
31,1,1,1,1,0
32,1,1,1,1,0
33,1,1,0,1,0
34,0,1,1,1,0
35,1,0,1,0,0
36,1,1,0,1,0
37,1,1,1,0,0
38,1,1,1,1,0
39,1,0,1,1,0
40,1,1,1,1,0
41,1,1,1,1,0
42,1,1,1,1,0
43,1,0,0,1,1
44,0,1,0,0,0
45,0,1,1,1,0
46,1,1,1,1,0
47,0,0,0,1,0
48,1,1,1,1,0
49,0,1,1,1,0
50,1,1,1,1,0
51,1,1,1,1,0
52,1,0,1,1,0
53,1,1,1,1,0
54,1,1,0,0,0
55,1,1,1,1,0
56,1,1,1,0,0
57,0,1,1,1,0
58,0,0,1,1,0
59,0,0,0,0,0
60,1,1,1,1,0
61,1,1,1,1,0
62,1,1,0,0,0
63,1,0,1,0,0
64,0,1,1,1,0
65,1,1,1,1,0
66,0,1,1,1,0
67,1,0,1,1,0
68,1,1,0,0,0
69,0,0,1,1,0
70,0,1,1,1,0
71,1,1,0,1,0
72,1,1,0,1,0
73,0,1,1,1,1
74,1,1,1,0,0
75,1,1,0,1,0
76,1,1,1,0,0
77,1,1,1,1,1
78,1,1,1,1,0
79,1,0,1,1,0
80,0,1,1,0,0
81,1,1,1,1,0
82,0,0,0,1,0
83,0,1,1,1,0
84,1,1,1,1,0
85,0,1,1,1,0
86,0,1,1,1,0
87,1,1,0,0,0
88,1,1,1,1,1
89,1,1,1,0,1
90,1,1,1,1,0
91,1,1,1,1,0
92,0,1,1,0,0
93,1,0,0,1,0
94,1,1,1,1,0
95,1,1,0,0,0
96,0,1,1,1,1
97,1,1,1,1,0
98,1,1,1,1,0
99,1,1,0,1,1
100,1,1,0,1,0
101,1,0,0,1,1
102,0,0,1,1,0
103,1,1,0,1,1
104,1,1,0,1,0
105,1,1,1,0,0
106,1,1,1,0,0
107,1,1,1,1,1
108,0,1,1,1,0
109,1,1,1,1,0
110,1,1,1,1,0
111,0,0,0,1,0
112,1,1,0,1,1
113,0,0,1,0,0
114,1,1,1,1,0
115,1,1,1,1,0
116,0,1,1,0,1
117,0,1,0,1,0
118,0,0,1,0,0
119,1,1,1,1,1
120,0,0,1,0,0
121,0,1,0,1,0
122,1,0,0,1,0
123,1,1,0,1,0
124,0,1,0,0,0
125,1,1,1,1,0
126,1,1,1,1,0
127,1,1,1,0,0
128,1,1,1,1,0
129,0,1,1,0,0
130,0,0,1,1,1
131,1,1,1,0,0
132,1,1,1,1,0
133,1,1,0,1,0
134,0,0,1,1,1
135,0,1,1,1,0
136,1,1,1,1,0
137,1,1,1,0,0
138,1,1,1,1,1
139,0,1,0,1,0
140,1,1,1,1,0
141,0,1,1,1,0
142,1,1,1,1,0
143,1,0,1,0,0
144,0,0,1,1,0
145,1,1,1,1,1
146,0,1,1,1,0
147,0,1,1,1,1
148,1,1,1,1,0
149,1,1,1,1,0
150,1,1,0,1,0
151,1,1,1,1,0
152,1,0,1,1,0
153,0,1,0,1,0
154,1,1,0,1,1
155,0,0,0,0,0
156,1,1,1,1,0
157,1,1,1,1,0
158,1,1,1,1,1
159,1,1,1,1,0
160,1,1,1,1,0
161,0,1,1,1,0
162,1,1,1,1,1
163,1,1,0,1,0
164,1,1,1,1,0
165,1,1,1,1,0
166,0,1,1,0,0
167,0,0,1,1,0
168,0,0,0,1,1
169,1,1,1,0,0
170,1,1,0,0,0
171,0,1,1,1,0
172,0,1,1,0,0
173,1,1,1,1,0
174,1,1,1,0,0
175,0,1,1,0,0
176,1,1,1,1,0
177,1,1,1,1,0
178,1,1,0,1,1
179,1,1,1,1,0
180,1,1,1,0,0
181,1,1,1,0,0
182,1,1,1,0,0
183,1,1,1,1,0
184,1,1,1,0,0
185,1,1,1,1,0
186,0,1,0,0,0
187,1,1,0,1,0
188,1,0,1,0,1
189,0,1,1,1,0
190,1,1,1,0,0
191,1,1,0,0,1
192,1,1,1,0,0
193,1,1,0,1,1
194,1,0,0,0,0
195,0,1,1,0,0
196,0,1,1,1,0
197,0,1,0,0,0
198,1,1,0,1,0
199,1,1,1,0,0
200,1,1,1,1,0
201,1,1,1,1,0
202,1,1,1,1,1
203,1,0,0,0,1
204,1,1,1,1,0
205,1,1,0,1,0
206,1,1,1,1,0
207,1,1,1,1,1
208,1,0,1,1,0
209,1,1,1,1,1
210,1,1,1,1,0
211,0,1,1,1,0
212,1,1,1,0,0
213,1,1,1,0,0
214,1,1,1,1,0
215,0,1,1,1,1
216,1,1,1,1,1
217,1,0,1,1,0
218,1,0,0,1,0
219,0,1,1,1,0
220,1,1,1,1,0
221,0,0,0,1,0
222,1,1,1,1,0
223,1,1,1,1,0
224,1,1,1,1,0
225,1,1,1,1,0
226,1,1,1,0,1
227,1,1,0,0,0
228,1,0,1,0,1
229,1,0,0,1,0
230,1,1,1,0,0
231,1,1,0,1,0
232,1,1,1,1,1
233,1,0,1,1,0
234,1,1,1,1,1
235,1,1,1,0,0
236,1,0,1,0,0
237,1,1,0,0,0
238,0,1,1,1,0
239,1,1,1,1,0
240,0,1,1,0,0
241,1,1,1,1,1
242,1,0,0,0,0
243,0,1,1,1,0
244,0,1,1,1,0
245,1,0,1,1,1
246,1,1,1,1,0
247,1,1,0,1,0
248,1,1,1,1,0
249,0,0,0,0,0
250,0,1,1,1,1
251,0,1,1,1,0
252,0,0,1,0,0
253,1,1,1,1,0
254,1,0,1,1,1
255,1,1,1,1,0
256,1,1,1,1,0
257,1,1,0,0,0
258,0,0,1,1,0
259,0,1,1,1,0
260,1,1,1,1,0
261,0,1,1,1,0
262,1,1,0,1,0
263,0,1,0,1,0
264,1,1,1,1,0
265,1,1,1,0,0
266,1,1,1,1,0
267,0,1,1,1,0
268,1,1,1,0,0
269,1,0,1,1,0
270,1,1,1,1,1
271,0,1,0,1,1
272,1,1,0,1,0
273,1,1,1,0,1
274,1,1,1,0,0
275,1,1,1,1,0
276,0,1,1,1,0
277,1,1,1,1,0
278,0,1,1,0,0
279,1,1,0,1,0
280,1,0,0,1,0
281,1,1,1,1,0
282,1,1,1,1,1
283,1,1,1,1,0
284,1,1,1,1,0
285,0,1,1,1,0
286,1,1,1,1,1
287,1,1,0,1,0
288,0,1,1,1,0
289,1,1,1,0,0
290,1,1,1,1,0
291,1,1,0,0,0
292,0,1,0,1,0
293,1,1,0,1,0
294,1,1,1,1,0
295,0,1,1,0,0
296,0,0,0,1,0
297,1,1,1,1,0
298,1,1,1,1,0
299,1,1,1,1,1
300,0,1,1,1,0
301,0,1,1,0,0
302,1,1,1,0,1
303,1,1,1,1,1
304,1,1,0,0,0
305,1,1,1,1,0
306,0,0,0,1,1
307,1,1,1,0,0
308,0,0,1,0,0
309,1,0,0,1,0
310,1,1,0,1,0
311,1,0,1,1,0
312,0,1,1,1,0
313,1,0,1,0,1
314,1,1,1,1,0
315,1,1,1,0,0
316,1,1,1,1,0
317,0,1,1,1,0
318,1,1,1,1,0
319,0,1,1,1,0
320,1,1,1,0,0
321,1,1,1,0,0
322,1,1,0,1,1
323,1,1,1,1,0
324,0,1,1,1,0
325,1,1,1,1,1
326,1,1,0,1,0
327,0,1,1,1,1
328,1,1,1,1,0
329,1,1,1,1,0
330,1,1,0,1,0
331,0,1,1,0,0
332,0,0,1,0,0
333,0,0,0,0,0
334,1,0,0,0,0
335,1,1,0,0,0
336,0,0,1,1,0
337,0,0,0,0,0
338,1,1,1,1,0
339,1,1,1,1,0
340,0,0,0,1,0
341,0,1,0,1,1
342,1,0,0,1,0
343,1,1,1,1,0
344,1,1,1,1,0
345,0,1,1,1,0
346,1,0,1,1,0
347,0,0,0,1,0
348,1,1,1,1,0
349,1,1,0,0,0
350,0,0,0,1,0
351,0,1,1,0,0
352,1,1,1,1,0
353,1,1,0,0,0
354,1,1,0,1,0
355,1,0,1,0,0
356,1,1,1,1,0
357,1,1,1,0,0
358,1,1,1,1,0
359,0,0,0,0,1
360,1,1,0,1,0
361,1,1,1,1,0
362,0,1,1,1,0
363,1,0,0,1,0
364,1,0,1,0,0
365,1,1,1,1,1
366,1,1,1,1,1
367,0,0,0,1,0
368,1,1,1,0,0
369,0,1,0,1,1
370,1,1,1,1,0
371,1,1,1,1,0
372,0,0,0,1,0
373,1,1,0,1,0
374,0,1,0,0,0
375,0,1,0,0,1
376,1,1,1,1,0
377,1,1,0,1,0
378,1,1,0,0,0
379,0,1,1,1,0
380,1,1,1,1,1
381,0,1,0,0,0
382,0,0,0,1,1
383,1,1,1,1,0
384,1,1,1,1,0
385,0,0,1,1,0
386,0,0,0,1,0
387,1,1,1,1,0
388,1,1,1,1,0
389,0,1,1,1,1
390,1,1,1,1,0
391,0,0,0,1,0
392,1,1,0,1,1
393,0,1,1,1,1
394,1,1,1,1,0
395,1,1,0,1,1
396,0,1,0,1,0
397,1,1,1,1,0
398,1,1,0,0,0
399,0,1,1,1,0
400,1,1,1,1,0
401,1,1,1,1,0
402,1,1,1,0,0
403,1,1,1,1,0
404,1,1,1,1,0
405,1,0,1,0,0
406,1,1,1,1,1
